date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:36	227/227	---M--	200	added ('OK')	image/png	etag:%226740aafd-e3%22	https://www.bg87.com/images/design/menu_background.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/menu_background.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:37	544/544	---M--	200	added ('OK')	image/png	etag:%226740aafc-220%22	https://www.bg87.com/images/design/background_content2.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/background_content2.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:38	3864/3864	---M--	200	added ('OK')	image/png	etag:%226740aafc-f18%22	https://www.bg87.com/images/design/footer2.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/footer2.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:39	658/658	---M--	200	added ('OK')	image/png	etag:%226740aafc-292%22	https://www.bg87.com/images/design/footer_left.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/footer_left.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:40	679/679	---M--	200	added ('OK')	image/png	etag:%226740aafc-2a7%22	https://www.bg87.com/images/design/footer_right.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/footer_right.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:41	235/235	---M--	200	added ('OK')	image/png	etag:%226740aafc-eb%22	https://www.bg87.com/images/design/footer_center.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/footer_center.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:42	246/246	---M--	200	added ('OK')	image/png	etag:%226740aafc-f6%22	https://www.bg87.com/images/design/background_button.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/background_button.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:43	2957/2957	---M--	200	added ('OK')	image/png	etag:%226740aafd-b8d%22	https://www.bg87.com/images/design/menu_button_hover.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/menu_button_hover.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:44	201/201	---M--	200	added ('OK')	image/png	etag:%226740aafc-c9%22	https://www.bg87.com/images/design/bg_title.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/bg_title.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:46	33825/33825	---M--	200	added ('OK')	image/png	etag:%226740aafc-8421%22	https://www.bg87.com/images/design/all_videos.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/all_videos.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:46	35851/35851	---M--	200	added ('OK')	image/png	etag:%226740aafc-8c0b%22	https://www.bg87.com/images/design/all_photos.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/all_photos.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:48	101768/101768	---M--	200	added ('OK')	image/png	etag:%226740aafd-18d88%22	https://www.bg87.com/images/design/inscription_accueil.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_accueil.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:49	153575/153575	---M--	200	added ('OK')	image/png	etag:%226740aafd-257e7%22	https://www.bg87.com/images/design/inscription_complet.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_complet.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
